Material;Material Description;Batch;SLoc;Unrestr.;SLED/BBD;
08.8307D;Peel-Away Introducer Set 7F;811124;Lager Wien;16;28.02.2024;
08.8307D;Peel-Away Introducer Set 7F;812144;Lager Wien;130;31.12.2023;
08.8307D;Peel-Away Introducer Set 7F;904191;Lager Wien;130;30.04.2024;
08.8307D;Peel-Away Introducer Set 7F;811124;Franz;1;28.02.2024;
08.8307D;Peel-Away Introducer Set 7F;812144;Franz;3;31.12.2023;
08.8307D;Peel-Away Introducer Set 7F;708136;Gerald;1;31.07.2022;
08.8307D;Peel-Away Introducer Set 7F;812144;Gerald;5;31.12.2023;
08.8307D;Peel-Away Introducer Set 7F;805258;Maurizio;1;31.05.2023;
08.8307D;Peel-Away Introducer Set 7F;811124;Maurizio;1;28.02.2024;
08.8307D;Peel-Away Introducer Set 7F;812144;Maurizio;2;31.12.2023;
08.8307D;Peel-Away Introducer Set 7F;805258;Benedikt;3;31.05.2023;
08.8307D;Peel-Away Introducer Set 7F;811124;Benedikt;2;28.02.2024;
08.8308D;Peel-Away Introducer Set 8F;704280;Lager Wien;5;30.04.2022;
08.8308D;Peel-Away Introducer Set 8F;708137;Lager Wien;35;31.07.2022;
08.8308D;Peel-Away Introducer Set 8F;71121;Lager Wien;50;31.10.2022;
08.8308D;Peel-Away Introducer Set 8F;704280;Franz;1;30.04.2022;
08.8308D;Peel-Away Introducer Set 8F;708137;Franz;3;31.07.2022;
08.8308D;Peel-Away Introducer Set 8F;704280;Gerald;5;30.04.2022;
08.8308D;Peel-Away Introducer Set 8F;512171;Maurizio;1;31.12.2020;
08.8308D;Peel-Away Introducer Set 8F;704280;Maurizio;2;30.04.2022;
08.8308D;Peel-Away Introducer Set 8F;708137;Maurizio;1;31.07.2022;
08.8308D;Peel-Away Introducer Set 8F;612302;Benedikt;1;31.01.2022;
08.8308D;Peel-Away Introducer Set 8F;708137;Benedikt;3;31.07.2022;
08.8309D;Peel-Away Introducer Set 9F;708290;Lager Wien;1;31.08.2022;
08.8309D;Peel-Away Introducer Set 9F;812145;Lager Wien;5;31.12.2023;
08.8309D;Peel-Away Introducer Set 9F;904170;Lager Wien;195;30.04.2024;
08.8309D;Peel-Away Introducer Set 9F;704116;Franz;1;31.03.2022;
08.8309D;Peel-Away Introducer Set 9F;708290;Franz;1;31.08.2022;
08.8309D;Peel-Away Introducer Set 9F;81052;Franz;1;30.09.2023;
08.8309D;Peel-Away Introducer Set 9F;60898;Gerald;1;30.09.2021;
08.8309D;Peel-Away Introducer Set 9F;704116;Gerald;1;31.03.2022;
08.8309D;Peel-Away Introducer Set 9F;708290;Gerald;1;31.08.2022;
08.8309D;Peel-Away Introducer Set 9F;81052;Maurizio;4;30.09.2023;
08.8309D;Peel-Away Introducer Set 9F;708290;Benedikt;5;31.08.2022;
08.8310D;Peel-Away Introducer Set 10F;811127;Lager Wien;10;30.11.2023;
08.8310D;Peel-Away Introducer Set 10F;904171;Lager Wien;10;30.04.2024;
08.8311D;Peel-Away Introducer Set 11F;502212;Lager Wien;20;28.02.2020;
1258T/86;TLDA011 Quickflex;BRP073098;Franz;1;28.02.2022;FRM, 19.10.2019
1258T/86;TLDA011 Quickflex;BRP073169;Franz;1;28.02.2022;FRM, 19.10.2019
1258T/86;TLDA011 Quickflex;BRP074393;Franz;1;31.03.2022;
1258T/86;TLDA011 Quickflex;BRP073072;Maurizio;1;28.02.2022;
1258T/86;TLDA011 Quickflex;BRP074434;Benedikt;1;31.03.2022;
1458Q/86;TLDA012 Quartet IS4 lead;BPP199558;Lager Wien;1;31.03.2022;
1458Q/86;TLDA012 Quartet IS4 lead;BPP199754;Lager Wien;1;31.03.2022;
1458Q/86;TLDA012 Quartet IS4 lead;BPP139713;Franz;1;30.11.2019;
1458Q/86;TLDA012 Quartet IS4 lead;BPP152022;Franz;1;29.02.2020;
1458Q/86;TLDA012 Quartet IS4 lead;BPU085604;Franz;1;30.09.2021;
1458Q/86;TLDA012 Quartet IS4 lead;BPP154293;Gerald;1;31.03.2020;
1458Q/86;TLDA012 Quartet IS4 lead;BPP199794;Gerald;1;31.03.2022;
1458Q/86;TLDA012 Quartet IS4 lead;BPP199803;Maurizio;1;31.03.2022;
1458Q/86;TLDA012 Quartet IS4 lead;BPU085608;Maurizio;1;30.09.2021;
1458Q/86;TLDA012 Quartet IS4 lead;BPP199719;Benedikt;1;31.03.2022;
1458Q/86;TLDA012 Quartet IS4 lead;BPP199800;Benedikt;1;31.03.2022;
28431;SIRIUS STEER.6FQUAD 2-5-2MM/60;P294509-00;Lager Wien;1;31.10.2019;
383475;P-KIT60 CE;11174599;Maurizio;1;31.12.2019;
384129;D-KIT65 II CE;11174632;Franz;1;30.11.2019;
384129;D-KIT65 II CE;11174632;Maurizio;1;30.11.2019;
395399;Blind Cap BK IS4/DF4;10172953;Lager Wien;1;30.11.2019;
6935M62;Sprint Quattro DF4 SC screw;TDL119904G;Lager Wien;1;08.01.2021;
6935M62;Sprint Quattro DF4 SC screw;TDL119905G;Franz;1;08.01.2021;
6935M62;Sprint Quattro DF4 SC screw;TDL119883G;Maurizio;1;08.01.2021;
6935M62;Sprint Quattro DF4 SC screw;TDL119884G;Maurizio;1;08.01.2021;
6935M62;Sprint Quattro DF4 SC screw;TDL119874G;Benedikt;1;08.01.2021;
6935M62;Sprint Quattro DF4 SC screw;TDL119875G;Benedikt;1;08.01.2021;
7001;EZ-4 Connector Tool;704646;Lager Wien;1;09.07.2020;
7001;EZ-4 Connector Tool;704646;Franz;2;09.07.2020;
7001;EZ-4 Connector Tool;704631;Maurizio;1;03.07.2020;
7001;EZ-4 Connector Tool;704646;Benedikt;1;09.07.2020;
7120Q-65;TLDA004 Durata Dual Coil;BNR045327;Lager Wien;1;31.12.2020;
7120Q-65;TLDA004 Durata Dual Coil;BJR044563;Franz;1;31.10.2020;
7120Q-65;TLDA004 Durata Dual Coil;BNR042979;Franz;1;30.09.2020;
7120Q-65;TLDA004 Durata Dual Coil;BNR044993;Benedikt;1;31.12.2020;
7122/65;DF1 Durata screw S. coil  65cm;CHW019908;Franz;1;31.10.2021;
7122/65;DF1 Durata screw S. coil  65cm;CHW019910;Franz;1;31.10.2021;
7122/65;DF1 Durata screw S. coil  65cm;CHW019907;Maurizio;1;31.10.2021;
7122/65;DF1 Durata screw S. coil  65cm;CHW019911;Maurizio;1;31.10.2021;
7122Q-65;Durata Single Coil DF4;BPA080991;Franz;1;31.12.2020;
7171Q-65;Durata DF4 lead;BKT012986;Franz;1;31.08.2020;
7171Q-65;Durata DF4 lead;BKT012987;Maurizio;1;31.08.2020;
EX3151;IS4/DF4 Connector Sleeve;9442191;Lager Wien;3;09.03.2021;
EX3151;IS4/DF4 Connector Sleeve;9440160;Franz;2;15.05.2020;
EX3151;IS4/DF4 Connector Sleeve;9440160;Gerald;1;15.05.2020;
EX3151;IS4/DF4 Connector Sleeve;9442191;Maurizio;1;09.03.2021;
EX3151;IS4/DF4 Connector Sleeve;9442191;Benedikt;1;09.03.2021;
ICV1114;ESPRIT DR EUROPA;911BP53D;Lager Wien;1;26.01.2021;
ICV1114;ESPRIT DR EUROPA;912BP3A5;Lager Wien;1;26.01.2021;
ICV1114;ESPRIT DR EUROPA;913BP3E1;Lager Wien;1;26.01.2021;
ICV1114;ESPRIT DR EUROPA;913BP3E4;Lager Wien;1;26.01.2021;
ICV1114;ESPRIT DR EUROPA;916BP348;Lager Wien;1;25.01.2021;
ICV1125;ESPRIT SR EUROPA;908BS5FA;Lager Wien;1;14.12.2020;
ICV1125;ESPRIT SR EUROPA;909BS4F9;Lager Wien;1;14.12.2020;
ICV1125;ESPRIT SR EUROPA;910BS232;Lager Wien;1;14.12.2020;
ICV1125;ESPRIT SR EUROPA;910BS5F0;Lager Wien;1;14.12.2020;
ICV1125;ESPRIT SR EUROPA;910BS72E;Lager Wien;1;14.12.2020;
ICV1125;ESPRIT SR EUROPA;913BS0B1;Lager Wien;1;13.12.2020;
